年度,日期,活動名稱,場次狀態,email網域,報名人次,報名人數
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@interplan.com.tw,5,5
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@mxdigi.com,5,5
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@unismart.com.tw,5,5
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@hakuhodotm.com.tw,4,4
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@medialand.tw,4,4
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@ua.com.tw,3,3
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@ky-post.com,2,2
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@gmail.com,1,1
2026,2026-01-16,1/16 (五) 動態靜心｜用激靜鼓敲開心流,ENDED,@meshplus.com.tw,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@ua.com.tw,18,18
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@meshplus.com.tw,12,12
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@hakuhodotm.com.tw,11,10
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@medialand.tw,10,10
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@mxdigi.com,10,10
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@unismart.com.tw,6,6
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@grandpr.com.tw,4,4
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@ky-post.com,4,4
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@prestigepr.com.tw,4,4
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@gmail.com,3,3
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@pilotpr.com.tw,3,3
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@unisurf.com.tw,3,3
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@ace-taipei.com,2,2
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@mdcg.tw,2,2
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@unisincere.com.tw,2,2
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@ace.taipei.com,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@dvibemedia.com,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@hakuhodoti.com.tw,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@interplan.com.tw,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@planetpe.com.tw,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@planetpr.com.tw,1,1
2026,2026-03-20,3/20（五）春野・開運・馬上好,ENDED,@unistyle.com.tw,1,1
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@ua.com.tw,12,12
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@hakuhodotm.com.tw,8,8
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@grandpr.com.tw,7,7
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@pilotpr.com.tw,4,4
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@prestigepr.com.tw,4,4
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@unismart.com.tw,4,4
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@planetpr.com.tw,3,3
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@gmail.com,2,2
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@unisincere.com.tw,2,2
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@unisurf.com.tw,2,2
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@dvibemedia.com,1,1
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@medialand.tw,1,1
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@unistyle.com.tw,1,1
2026,2026-03-27,3/27（五）［加場 ! ］春野・開運・馬上好 ,ENDED,@unisurf.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@ua.com.tw,10,10
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@medialand.tw,7,7
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@grandpr.com.tw,4,4
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@hakuhodotm.com.tw,4,4
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@unismart.com.tw,4,4
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@meshplus.com.tw,3,3
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@ky-post.com,2,2
