年度,日期,活動名稱,場次狀態,email網域,正取,候補,請假
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@medialand.tw,2,0,1
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@gmail.com,1,0,0
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@meshplus.com.tw,1,0,0
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@pilotpr.com.tw,1,0,0
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@planetpr.com.tw,0,0,1
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@ua.com.tw,1,0,0
2025,2025-01-10,1/10 (五) 薛喬 心理師｜[夢想UP] 新年人生整理術,ENDED,@unismart.com.tw,1,0,0
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@medialand.tw,10,0,3
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@planetpr.com.tw,2,0,3
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@gmail.com,3,0,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@ky-post.com,3,1,0
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@meshplus.com.tw,2,0,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@ua.com.tw,3,0,0
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@mxdigi.com,1,0,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@pilotpr.com.tw,2,0,0
