年度,日期,活動名稱,報到表,email網域,歸屬公司,正取,候補,請假,報到
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@ua.com.tw,聯廣 UCG,10,2,1,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@medialand.tw,米蘭 MDCG,5,0,1,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@2008-media.com,2008傳媒,3,0,0,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@mxdigi.com,米蘭 MDCG,2,0,0,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@pilotpr.com.tw,先勢集團,2,0,0,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@grandpr.com.tw,先勢集團,1,0,0,0
2026,2026-07-31,《聲波共振！開出你專屬的魔法結界》,有,@prestigepr.com.tw,先勢集團,1,0,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@meshplus.com.tw,米蘭 MDCG,6,4,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@medialand.tw,米蘭 MDCG,7,2,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@ua.com.tw,聯廣 UCG,5,3,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@mxdigi.com,米蘭 MDCG,2,3,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@hakuhodotm.com.tw,台北博報堂 HTM,3,1,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@unisurf.com.tw,聯廣 UCG,4,0,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@ky-post.com,光洋波斯特,0,2,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@unismart.com.tw,聯廣 UCG,2,0,0,0
2026,2026-07-31,《就是你了！來養顆苔球小精靈吧》,有,@pilotpr.com.tw,先勢集團,1,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@medialand.tw,米蘭 MDCG,6,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@meshplus.com.tw,米蘭 MDCG,6,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@ua.com.tw,聯廣 UCG,4,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@hakuhodotm.com.tw,台北博報堂 HTM,2,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@ky-post.com,光洋波斯特,2,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@mxdigi.com,米蘭 MDCG,2,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@ace-taipei.com,艾斯,0,0,1,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@medialnad.tw,米蘭 MDCG,1,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@mediand.tw,米蘭 MDCG,1,0,0,0
2026,2026-07-30,《就是你了！來養顆苔球小精靈吧》 加場！,有,@mxdogi.com,米蘭 MDCG,0,0,1,0
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@hakuhodotm.com.tw,台北博報堂 HTM,7,3,0,7
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@medialand.tw,米蘭 MDCG,4,3,2,4
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@ua.com.tw,聯廣 UCG,5,2,0,5
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@meshplus.com.tw,米蘭 MDCG,4,3,0,4
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@ky-post.com,光洋波斯特,0,5,0,0
2026,2026-07-17,《就是你了！來養顆苔球小精靈吧》,有,@unisurf.com.tw,聯廣 UCG,0,5,0,0
